TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
HCAR-BGET7R,Agoongyi Korean Restaurant,Surrey,19555 Fraser Hwy,-122.6811142,49.11473846,523270.4722757641,5440259.796656801
HHIN-C57SSJ,Crosstown Food Market,Surrey,6019 196th St,-122.67997133,49.11163729,523355.32809123385,5439915.399828867
GEDS-6RUV4W,Mongolie Grill,Surrey,19583 Fraser Hwy,-122.68019867,49.11431503,523337.48098447,5440213.006642983
A019739    ,Baskin-Robbins Ice Cream #5321,Surrey,19585 Fraser Hwy,-122.68011475,49.11428452,523343.6193480723,5440209.6407768205
NDAA-9ENPNZ,Sushi Topia,Surrey,6350 120 St,-122.89006042,49.11815643,508022.2193156562,5440596.624869184
SHEN-A79US9,Spice of Punjab Sweets & Restaurant,Surrey,6350 120 St,-122.89006042,49.11815643,508022.2193156562,5440596.624869184
SPLH-AAAUPT,Pepperoni Cafe,Surrey,6388 120 St,-122.89012909,49.1187973,508017.1052193382,5440667.861529976
A018517    ,My Greek Taverna,Surrey,6450 120 St,-122.89008331,49.12012482,508020.2316571209,5440815.443504212
GEDS-6VJPCQ,Keg Steakhouse & Bar (Scott Rd),Surrey,7948 120 St,-122.89006805,49.14744949,508016.9375964069,5443853.068983323
SHEN-ABJT3T,Ultimate Banquet Hall Ltd.,Surrey,8072 120 St,-122.8900528,49.14987946,508017.65762039827,5444123.205752659
HCAR-C7TTM8,Desi Rasoi Foods,Surrey,8140 120th St,-122.89032214,49.1511516,507997.811820054,5444264.59871426
HCAR-C48QFB,CEFA Early Learning Surrey - Nordel - Food Service,Surrey,8820 120th St,-122.89031227,49.16361517,507996.52489198814,5445650.153293841
HCAR-AVKSJF,Crustos Pizza & Wings,Surrey,8910 120 St,-122.89006805,49.1651535,508014.0809192376,5445821.192806103
SDFO-8LQSRL,Thai By Thai Restaurant,Surrey,9164 120 St,-122.8899765,49.16981125,508020.0026300762,5446338.997425705
HCAR-CH6RK2,Punjabi Tadka Pick and Go,Surrey,9200 120th St,-122.89021022,49.17052812,508002.85040711606,5446418.66607438
SHEN-A7LSB9,Royal Pacific Restaurant Ltd.,Surrey,9190 120 St,-122.88998413,49.17021942,508019.38052703114,5446384.37227079
HCAR-BHDPQM,Mac's Convenience Store #11020,Surrey,9194 120 St,-122.8899765,49.17032242,508019.9200628637,5446395.823436529
SHEN-ATTUV4,The Madinaz Restaurant,Surrey,9320 120 St,-122.88991547,49.17223358,508024.0598302998,5446608.290769782
HCAR-CGFNBF,Kwantlen Pizza Sweets & Snacks (120th St),Surrey,9380 120th St,-122.89016596,49.1735272,508005.5930186586,5446752.07414301
HCAR-BYTSGL,Ustaad G Indian Cuisine (120th St),Surrey,9436 120th St,-122.88994597,49.17436505,508021.49228592415,5446845.240030277
HCAR-CCDV57,Fit4Me,Surrey,9528 120th St,-122.89013061,49.17592266,508007.78319766483,5447018.377832837
DKIA-CMBQX8,Spice Meat Shop & Eatery,Surrey,9522 120th St,-122.8901048,49.17581204,508009.6821968149,5447006.08308908
HPAR-AE2Q87,7-Eleven Store # 37868,Surrey,6422 120 St,-122.88996124,49.11967468,508029.2113349071,5440765.4154714765
MARO-B3LULE,Zaiqa Halal BBQ Restaurant,Surrey,9450 120 St,-122.88900757,49.17459869,508089.85122591176,5446871.313299954
GEDS-83VU7U,Crown Palace Banquet Hall,Surrey,12025 Nordel Way,-122.88889313,49.16237259,508100.1865867715,5445512.1685089795
JDSO-ADJN3Q,Funplex,Surrey,12070 88 Ave,-122.88829803,49.16306686,508143.45818361215,5445589.413198049
NDAA-966PCS,Outtakes,Surrey,12161 72 Ave,-122.8864975,49.13501358,508279.39611092355,5442470.978303155
A018397    ,Tim Hortons #2172,Surrey,12169 72 Ave,-122.88586426,49.13422012,508325.7204326654,5442382.840471617
SWOD-AQFTDZ,Wally Lucie and Sons,Surrey,12171 Sullivan St,-122.88475037,49.05577469,508420.2316237292,5433662.4155168915
GEDS-6AAPTZ,Gurdwara Amrit Prakash Sikh Temple,Surrey,7990 123A St,-122.8802948,49.14785767,508729.59334957105,5443899.525914476
GEDS-6732QE,Shree Sanata Dharam Sabha (Fiji) of BC,Surrey,8473 124 St,-122.87944794,49.15709686,508789.71650976123,5444926.727708585
HCAR-BS7MB9,Dinehall,Surrey,8247 124th St,-122.87913706,49.15301375,508813.10778986494,5444472.851761518
HCAR-CHRNGC,Ghar D Roti and Sweets,Surrey,12448 82nd Ave,-122.87756566,49.1519829,508927.87666327076,5444358.4380853
